,names,genres,releaseDates,playenv_strs,ratingScores,ratingAmts,newPosts,community_Links,rating_Links
3774,"안녕, 우주전함 야마토: 사랑의 전사들",장르: 전략,일정: 출시 (2000.05.02),PS2,0,0,0,http://bbs.ruliweb.com/game/3536,http://bbs.ruliweb.com/game/3536/review
3775,아머드 코어 2,"장르: TPS, 액션",일정: 출시 (2000.08.03),ETC,0,0,0,http://bbs.ruliweb.com/game/3537,http://bbs.ruliweb.com/game/3537/review
3776,레이 크라이시스,"장르: 슈팅, 액션","일정: 출시 (2000.03.01), 출시 (2004.04.26)",PS2 ETC,0,0,0,http://bbs.ruliweb.com/game/3538,http://bbs.ruliweb.com/game/3538/review
3777,러브스토리,"장르: 연애, 시뮬레이션",일정: 출시 (2000.01.01),ETC,0,0,0,http://bbs.ruliweb.com/game/3539,http://bbs.ruliweb.com/game/3539/review
3778,베이그랜트 스토리,장르: RPG,"일정: 출시 (2009.07.31), 출시 (2000.02.01)",PS3 PS2,0,0,0,http://bbs.ruliweb.com/game/3540,http://bbs.ruliweb.com/game/3540/review
3779,팝픈뮤직 3,"장르: 리듬, 액션","일정: 출시 (2000.02.10), 출시 (1999.08.31)",PS2 ETC,0,0,0,http://bbs.ruliweb.com/game/3541,http://bbs.ruliweb.com/game/3541/review
3780,기동신선조 솟아라 검이여,장르: RPG,일정: 출시 (2002.12.01),PS2,0,0,0,http://bbs.ruliweb.com/game/3542,http://bbs.ruliweb.com/game/3542/review
3781,포포로크로이스 이야기 2,장르: RPG,일정: 출시 (2000.01.27),PS2,0,0,0,http://bbs.ruliweb.com/game/3543,http://bbs.ruliweb.com/game/3543/review
3782,트리펠즈 마법학원,"장르: 육성, 시뮬레이션",일정: 출시 (2000.03.30),PS2,0,0,0,http://bbs.ruliweb.com/game/3544,http://bbs.ruliweb.com/game/3544/review
3783,A열차로 가자 6,장르: 노벨,일정: 출시 (2004.03.19),ETC,0,0,0,http://bbs.ruliweb.com/game/3545,http://bbs.ruliweb.com/game/3545/review
3784,에버그레이스,장르: RPG,일정: 출시 (2000.04.27),ETC,0,0,0,http://bbs.ruliweb.com/game/3546,http://bbs.ruliweb.com/game/3546/review
3785,아케이드 아랑전설 스페셜,"장르: 격투, 액션",일정: 출시 (2006.07.20),ETC,0,0,0,http://bbs.ruliweb.com/game/3547,http://bbs.ruliweb.com/game/3547/review
3786,버추어 NBA,장르: 스포츠,일정: 출시 (1999.01.01),ETC,0,0,0,http://bbs.ruliweb.com/game/3548,http://bbs.ruliweb.com/game/3548/review
3787,더 리듬 앤 댄스 2,"장르: 리듬, 액션",일정: 출시 (2000.04.19),ETC,0,0,0,http://bbs.ruliweb.com/game/3549,http://bbs.ruliweb.com/game/3549/review
